"","Model","Metric","Estimate","lwr","upr","pval","Time","Simulation"
"3857","Bliss","SS",1.26641535289446,-0.693548631645592,3.22637933743452,0.205364417140359,21,193
"3858","Bliss","SS",1.20662113522437,-0.753342849315681,3.16658511976443,0.227578083468446,24,193
"3859","Bliss","SS",1.07192440905965,-0.888039575480402,3.03188839359971,0.283753985696108,27,193
"3860","Bliss","SS",1.18886178208072,-0.771102202459331,3.14882576662078,0.234494061367186,30,193
"3861","Bliss","CI",0.930504336620831,0.635377347819472,1.36271512266154,0.711352193959704,3,194
"3862","Bliss","CI",0.840315561365667,0.552046811906561,1.27911297999274,0.417020085654836,6,194
"3863","Bliss","CI",0.99969863189971,0.699453320132577,1.42882637891078,0.998680242359439,9,194
"3864","Bliss","CI",1.1649477596438,0.835802261332187,1.62371334164138,0.367472429762233,12,194
"3865","Bliss","CI",1.06752758217471,0.750517565253578,1.51843899658597,0.716231940751417,15,194
"3866","Bliss","CI",1.03170568476186,0.731932498899796,1.45425516911725,0.85855529098645,18,194
"3867","Bliss","CI",0.991944099883093,0.720310276961954,1.36601285413126,0.960486036316388,21,194
"3868","Bliss","CI",0.97622220044301,0.689750183790134,1.38167383936176,0.891990656612689,24,194
"3869","Bliss","CI",1.00577369781144,0.694983688199595,1.45554600544635,0.975646361547046,27,194
"3870","Bliss","CI",0.986499959916219,0.68452075898523,1.4216985506143,0.941888027012991,30,194
"3871","Bliss","SS",0.370040661392816,-1.58992332314724,2.33000464593287,0.711352193959704,3,194
"3872","Bliss","SS",0.811601926229486,-1.14836205831057,2.77156591076954,0.417020085654836,6,194
"3873","Bliss","SS",0.00165407166298884,-1.95830991287706,1.96161805620304,0.998680242359439,9,194
"3874","Bliss","SS",-0.901217986008605,-2.86118197054866,1.05874599853145,0.367472429762233,12,194
"3875","Bliss","SS",-0.363499293278283,-2.32346327781834,1.59646469126177,0.716231940751417,15,194
"3876","Bliss","SS",-0.178213521624802,-2.13817750616486,1.78175046291525,0.85855529098645,18,194
"3877","Bliss","SS",0.0495436699566517,-1.9104203145834,2.00950765449671,0.960486036316388,21,194
"3878","Bliss","SS",0.135785749946162,-1.82417823459389,2.09574973448622,0.891990656612689,24,194
"3879","Bliss","SS",-0.0305275002788469,-1.9904914848189,1.92943648426121,0.975646361547046,27,194
"3880","Bliss","SS",0.0728970681533164,-1.88706691638674,2.03286105269337,0.941888027012991,30,194
