Model,Metric,Estimate,lwr,upr,pval,Time,Simulation
Bliss,CI,0.889206000569491,0.154720572495191,5.6428975111452,0.8982,21,877
Bliss,CI,0.502838459883949,0.0602696845198256,4.70689778996727,0.5508,24,877
Bliss,CI,0.267560710928721,0.0208337985236382,3.93697132458647,0.3304,27,877
Bliss,CI,0.138021275486698,0.00639630416384379,3.32554918739729,0.2232,30,877
Bliss,SS,-3.34422788572919,-5.28088813429513,-1.39285512716591,6.00E-04,3,877
Bliss,SS,-2.90676942251673,-4.85967968635264,-0.949930752239524,0.0024,6,877
Bliss,SS,-2.36301691941254,-4.33489029732556,-0.437624756563868,0.016,9,877
Bliss,SS,-1.74384679981764,-3.73204891097963,0.188943068944203,0.0754,12,877
Bliss,SS,-1.08633019025209,-3.08165345376552,0.834425582968495,0.2796,15,877
Bliss,SS,-0.444983757557883,-2.43739573162871,1.46521387565096,0.652,18,877
Bliss,SS,0.12700136845451,-1.87149515239865,2.01830008134224,0.8982,21,877
Bliss,SS,0.615184436104102,-1.38612003275958,2.5135156188438,0.5508,24,877
Bliss,SS,0.982814691836479,-1.02158000598706,2.88579029295531,0.3304,27,877
Bliss,SS,1.23396345360569,-0.748743284645963,3.1479456103435,0.2232,30,877
Bliss,CI,1.17270076209574,1.01805243376405,1.3480425930175,0.029,3,878
Bliss,CI,1.52495372006066,0.947032230785135,2.45049592801529,0.0798,6,878
Bliss,CI,1.79906425015784,0.718561764790276,4.55001033810151,0.2104,9,878
Bliss,CI,1.77814032590439,0.420921429502797,7.38134450975707,0.418,12,878
Bliss,CI,1.44036687455296,0.195017797017354,10.6402570689743,0.7236,15,878
Bliss,CI,0.964533433359635,0.0703148292354284,13.4076480647147,0.977,18,878
Bliss,CI,0.550367702148217,0.0208737279453928,15.0737363454823,0.7154,21,878
Bliss,CI,0.276064362912381,0.00513025514757638,15.6777310205923,0.5204,24,878
Bliss,CI,0.12980927535538,0.00110835301185497,16.0728769913662,0.3918,27,878
Bliss,CI,0.0576476561739612,2.13E-04,16.5464960457369,0.3074,30,878
Bliss,SS,-2.20391826267571,-4.13163322342309,-0.247513498050982,0.029,3,878
Bliss,SS,-1.73707416730683,-3.68970507878547,0.224036411337012,0.0798,6,878
Bliss,SS,-1.25046922503293,-3.22617118051465,0.703742658972577,0.2104,9,878
Bliss,SS,-0.785956715456334,-2.7296385778324,1.1816074547572,0.418,12,878
Bliss,SS,-0.356954673804444,-2.31317082323588,1.59908121013458,0.7236,15,878
Bliss,SS,0.0270181178486672,-1.94219785949136,1.98630225912002,0.977,18,878
Bliss,SS,0.356483929360068,-1.61951641017865,2.30978360118096,0.7154,21,878
Bliss,SS,0.631086782125628,-1.34944706357301,2.58520161262984,0.5204,24,878
Bliss,SS,0.839603927898795,-1.14204047286848,2.798371432726,0.3918,27,878
Bliss,SS,0.99975200531036,-0.983203486011031,2.96238217543208,0.3074,30,878
Bliss,CI,0.994211242412862,0.823375021177232,1.20026452393728,0.947,3,879
Bliss,CI,0.843928478042765,0.439046489379859,1.64286463655629,0.6222,6,879
Bliss,CI,0.543341627489964,0.145434160112029,2.06067911333616,0.3856,9,879
Bliss,CI,0.255955800126373,0.0296036083650219,2.17366240120323,0.211,12,879
Bliss,CI,0.0882754159180663,0.0039550890025508,1.86791943320913,0.116,15,879
Bliss,CI,0.0233165085460265,3.69E-04,1.34371341533455,0.0698,18,879
Bliss,CI,0.00494102989821161,2.48E-05,0.825240396940512,0.0404,21,879
Bliss,CI,9.08E-04,1.24E-06,0.447881683107682,0.0246,24,879
Bliss,CI,1.46E-04,4.82E-08,0.220793642217279,0.017,27,879
Bliss,CI,2.19E-05,1.67E-09,0.108382860683574,0.0124,30,879
