Model,Metric,Estimate,lwr,upr,pval,Time,Simulation
Bliss,SS,2.28100526039997,0.358652405056251,4.27479458815735,0.02,9,7
Bliss,SS,2.92619125795889,1.01496710984744,4.91878086504814,0.0022,12,7
Bliss,SS,3.49379970767349,1.57959051607466,5.5158712005168,2.00E-04,15,7
Bliss,SS,3.9567808377749,2.0403639780916,5.99060274816884,0,18,7
Bliss,SS,4.31703331907479,2.41205703858474,6.35315395337583,0,21,7
Bliss,SS,4.58390512115168,2.68731993723093,6.61881668796575,0,24,7
Bliss,SS,4.767728595882,2.88126068880851,6.81090400881005,0,27,7
Bliss,SS,4.87880617306039,2.98182308342029,6.91379891364912,0,30,7
Bliss,CI,1.09491342951944,0.964515898054476,1.241644517384,0.165,3,8
Bliss,CI,1.10681875827985,0.735726838160549,1.64623769603378,0.6292,6,8
Bliss,CI,0.819517893851707,0.38721079821072,1.69726615897652,0.6126,9,8
Bliss,CI,0.411118454835273,0.13567814015686,1.20688166456297,0.112,12,8
Bliss,CI,0.138036329789942,0.0315438842921555,0.579474801026412,0.0084,15,8
Bliss,CI,0.0327023914063403,0.00515378220232868,0.197032739802341,0,18,8
Bliss,CI,0.00565464732313445,6.11E-04,0.0495480264151711,0,21,8
Bliss,CI,7.65E-04,5.45E-05,0.0101764387658886,0,24,8
Bliss,CI,8.69E-05,4.06E-06,0.00181795223248322,0,27,8
Bliss,CI,8.52E-06,2.46E-07,2.94E-04,0,30,8
Bliss,SS,-1.39655925142341,-3.33350657739982,0.55644964091076,0.165,3,8
Bliss,SS,-0.491435266880717,-2.41380426391868,1.48605600896723,0.6292,6,8
Bliss,SS,0.525889185490957,-1.3977421697452,2.50682626346936,0.6126,9,8
Bliss,SS,1.58451665793105,-0.335202041454336,3.56071228280217,0.112,12,8
Bliss,SS,2.64999863855804,0.730178291764135,4.62539794656829,0.0084,15,8
Bliss,SS,3.64985753650536,1.73340436457697,5.6215825862274,0,18,8
Bliss,SS,4.56516997940415,2.65057903910113,6.52739316681986,0,21,8
Bliss,SS,5.34774964244029,3.41888246545012,7.31605701133447,0,24,8
Bliss,SS,5.96391034199174,4.02454729333255,7.91824122008066,0,27,8
Bliss,SS,6.41892137204277,4.4714210338756,8.36795863087952,0,30,8
Bliss,CI,1.01316623510665,0.89454860573541,1.15072482046467,0.8326,3,9
Bliss,CI,0.874928695852123,0.57919313893823,1.32856865303872,0.5282,6,9
Bliss,CI,0.547715921844297,0.246157312116654,1.21643189915764,0.1374,9,9
Bliss,CI,0.23529954630073,0.0673140441934541,0.807318895751182,0.0206,12,9
Bliss,CI,0.0694204987258776,0.011849837135756,0.388129641057415,0.003,15,9
Bliss,CI,0.0147151319127297,0.00143669620547062,0.143477062586719,0,18,9
Bliss,CI,0.00236095551745558,1.22E-04,0.0420342891066797,0,21,9
Bliss,CI,3.00E-04,7.43E-06,0.0106785416535498,0,24,9
Bliss,CI,3.21E-05,3.64E-07,0.00255607798073857,0,27,9
Bliss,CI,3.06E-06,1.38E-08,5.65E-04,0,30,9
Bliss,SS,-0.204832482178415,-2.19848295349291,1.74504382835505,0.8326,3,9
Bliss,SS,0.630968847857709,-1.34163416210315,2.57897488610289,0.5282,6,9
Bliss,SS,1.48128609747033,-0.482088201016623,3.4492510179761,0.1374,9,9
Bliss,SS,2.28441121019211,0.337928656510057,4.26030964653538,0.0206,12,9
Bliss,SS,2.99867112617951,1.06388461664032,4.9859662175507,0.003,15,9
Bliss,SS,3.58437343589881,1.64957284696877,5.56100113699349,0,18,9
Bliss,SS,4.03324253904558,2.11325679192917,6.01064072945604,0,21,9
Bliss,SS,4.35560222055667,2.43743965317984,6.34150239878661,0,24,9
Bliss,SS,4.55794400118156,2.62934763477711,6.53015216896028,0,27,9
Bliss,SS,4.65348826727373,2.74077752616541,6.63360398763364,0,30,9
Bliss,CI,1.08274255732375,0.93621149652561,1.25219020407356,0.2836,3,10
Bliss,CI,1.1097131190747,0.674466658981707,1.82038708832636,0.6754,6,10
Bliss,CI,0.880614848250934,0.332205734799782,2.32346442389134,0.7958,9,10
Bliss,CI,0.497997408399813,0.106866096730639,2.23133992300662,0.378,12,10
Bliss,CI,0.195627121091843,0.0222310306738963,1.59383355756278,0.1262,15,10
Bliss,CI,0.0536507686890721,0.00303824468989097,0.830544906171331,0.0366,18,10
Bliss,CI,0.0108645345393039,2.90E-04,0.324728475597757,0.0076,21,10
Bliss,CI,0.0016734974455249,1.98E-05,0.0994027415413672,0.0018,24,10
Bliss,CI,1.98E-04,1.05E-06,0.024130697059154,6.00E-04,27,10
Bliss,CI,1.91E-05,4.29E-08,0.0051168587924596,2.00E-04,30,10
Bliss,SS,-1.07274424483507,-3.03474654587601,0.889448945518731,0.2836,3,10
Bliss,SS,-0.411159422934969,-2.36600466776393,1.55548306879947,0.6754,6,10
Bliss,SS,0.256479129288111,-1.70076886356037,2.22315163122154,0.7958,9,10
Bliss,SS,0.894480707475729,-1.02976615003637,2.86909378443434,0.378,12,10
Bliss,SS,1.4933838175086,-0.426668692761494,3.48394727843144,0.1262,15,10
Bliss,SS,2.04720199303502,0.129940947914145,4.05658235686164,0.0366,18,10
Bliss,SS,2.5325735547672,0.629897079330271,4.56215523481473,0.0076,21,10
Bliss,SS,2.95744666222159,1.06799008332957,5.01077657630504,0.0018,24,10
Bliss,SS,3.33598245578891,1.45660450092848,5.38507039418265,6.00E-04,27,10
Bliss,SS,3.65626768735306,1.77504307908575,5.70800619125246,2.00E-04,30,10
Bliss,CI,1.15330793515063,1.02591549109095,1.29362943031266,0.0154,3,11
Bliss,CI,1.3528669334527,0.930664994931519,1.96244154377425,0.1152,6,11
Bliss,CI,1.2656009395859,0.631894095107019,2.55085554970566,0.5146,9,11
Bliss,CI,0.843872155210224,0.29747531909918,2.43530252489752,0.7588,12,11
