Model,Metric,Estimate,lwr,upr,pval,Time,Simulation
Bliss,SS,1.7423788375597145,-0.21758514698033904,3.702342822099768,0.08144217645602381,9,5
Bliss,SS,1.9544662053252,-0.005497779214853689,3.9144301898652536,0.05064610773282822,12,5
Bliss,SS,3.15194774095194,1.1919837564118863,5.111911725491994,0.0016218529730076855,15,5
Bliss,SS,4.395793265238009,2.4358292806979547,6.355757249778062,1.1036894096760674e-5,18,5
Bliss,SS,5.623464450225159,3.663500465685105,7.583428434765213,1.8716529449784253e-8,21,5
Bliss,SS,5.611542763229072,3.651578778689019,7.571506747769125,2.0053071798983647e-8,24,5
Bliss,SS,6.282189110023312,4.322225125483259,8.242153094563365,3.3383840281273665e-10,27,5
Bliss,SS,6.462187708625356,4.502223724085303,8.422151693165409,1.0319997023103599e-10,30,5
Bliss,CI,1.141282289043348,0.8807253281188125,1.4789233620272468,0.3175867401335734,3,6
Bliss,CI,1.2840931032690455,0.9362899738790087,1.7610944727217648,0.12078023509472618,6,6
Bliss,CI,1.0846547847414065,0.7913786741599013,1.4866157510642182,0.613394639928027,9,6
Bliss,CI,1.0215499648811792,0.7374556602936871,1.4150875597498913,0.8979617907901557,12,6
Bliss,CI,0.9248873427886287,0.6858795968625157,1.24718186801827,0.608725976394169,15,6
Bliss,CI,0.7325482728418365,0.5578200774150451,0.9620072739767688,0.02518446183313681,18,6
Bliss,CI,0.65827625968515735,0.5118166373619135,0.8466462448321467,0.0011280160899697065,21,6
Bliss,CI,0.6096226465646227,0.4545519764447395,0.81759576563987435,9.508479913287725e-4,24,6
Bliss,CI,0.5659593010869386,0.421244320682404,0.7603899085640439,1.580964257476379e-4,27,6
Bliss,CI,0.5031515993030132,0.3779372402110372,0.6698507184415502,2.5460791833542047e-6,30,6
Bliss,SS,-0.9994293659286259,-2.95939335046868,0.9605346186114277,0.3175867401335734,3,6
Bliss,SS,-1.5515069834460395,-3.511470967986093,0.408457001094014,0.12078023509472618,6,6
Bliss,SS,-0.5052337901766215,-2.465197774716675,1.4547301943634323,0.613394639928027,9,6
Bliss,SS,-0.12823653146598382,-2.0882005160060375,1.83172745307407,0.8979617907901557,12,6
Bliss,SS,0.5118928872894077,-1.4480710972506459,2.4718568718294613,0.608725976394169,15,6
Bliss,SS,2.2385614971140004,0.27859751257394666,4.198525481654054,0.02518446183313681,18,6
Bliss,SS,3.2564831915142234,1.2965192069741698,5.2164471760542765,0.0011280160899697065,21,6
Bliss,SS,3.3046802864043445,1.344716301864291,5.264644270944398,9.508479913287725e-4,24,6
Bliss,SS,3.777994411634322,1.818030427094268,5.737958396174376,1.580964257476379e-4,27,6
Bliss,SS,4.704404573357099,2.7444405888170453,6.664368557897152,2.5460791833542047e-6,30,6
Bliss,CI,0.8874589998865716,0.6887823025761458,1.1434432527287612,0.35583556663440047,3,7
Bliss,CI,0.8374602292293396,0.608739689919812,1.152117476738282,0.2757547841061052,6,7
Bliss,CI,0.8050821527794981,0.5986728688038054,1.0826568339720144,0.15142851966834756,9,7
Bliss,CI,0.7206564456324311,0.552746278139514,0.9395734230533987,0.015499205197070095,12,7
Bliss,CI,0.6181672278228773,0.46113591235608486,0.8286726566183015,0.0012962890820281399,15,7
Bliss,CI,0.5816789317229103,0.43991888129555823,0.7691199309606046,1.4358629330243596e-4,18,7
Bliss,CI,0.5199657626064983,0.3966143669309545,0.6816807882555206,2.2077519940620875e-6,21,7
Bliss,CI,0.4586908688338614,0.3500334562013175,0.6010777239263528,1.601390317443926e-8,24,7
Bliss,CI,0.43890127225613124,0.33604086348743056,0.5732467319268629,1.5036573320654177e-9,27,7
Bliss,CI,0.4077167041373198,0.3170946203153238,0.5242375624893736,2.6453668241816117e-12,30,7
Bliss,SS,0.9233294086127078,-1.0366345759273459,2.8832933931527616,0.35583556663440047,3,7
Bliss,SS,1.0899054761587148,-0.8700585083813388,3.049869460698768,0.2757547841061052,6,7
Bliss,SS,1.434503890463809,-0.5254600940762444,3.3944678750038624,0.15142851966834756,9,7
Bliss,SS,2.4204993923494387,0.4605354078093853,4.380463376889493,0.015499205197070095,12,7
Bliss,SS,3.216800046225537,1.2568360616854832,5.17676403076559,0.0012962890820281399,15,7
Bliss,SS,3.801907576888489,1.8419435923484353,5.761871561428542,1.4358629330243596e-4,18,7
Bliss,SS,4.7334133850458056,2.773449400505752,6.69337736958586,2.2077519940620875e-6,21,7
Bliss,SS,5.650331156797766,3.6903671722577127,7.6102951413378195,1.601390317443926e-8,24,7
Bliss,SS,6.043971876255749,4.084007891715696,8.003935860795803,1.5036573320654177e-9,27,7
Bliss,SS,6.9953822486432236,5.03541826410317,8.955346233183278,2.6453668241816117e-12,30,7
Bliss,CI,1.0555591797435178,0.7710246479021482,1.445096709907273,0.7358218417338798,3,8
Bliss,CI,1.0044878634614463,0.7463841390544579,1.3518452698091463,0.9764253043036586,6,8
Bliss,CI,0.9566801823768315,0.7385688236683338,1.239203364700335,0.7372859319384404,9,8
Bliss,CI,0.8205347892304119,0.6431466154011156,1.0468489209377072,0.11148272533277906,12,8
Bliss,CI,0.7092233356608424,0.569783638784569,0.8827872645112432,0.0020968512382867686,15,8
Bliss,CI,0.6145026709344504,0.4908206457670144,0.76935136254399,2.16904248177675e-5,18,8
