"","Model","Metric","Estimate","lwr","upr","pval","Time","Simulation"
"14886","Bliss","CI",0.758469253369573,0.469336886501175,1.22571999954143,0.258951530568707,18,745
"14887","Bliss","CI",0.731300159851347,0.46346579530676,1.15391454820227,0.178702343247297,21,745
"14888","Bliss","CI",0.649465340029806,0.403151586724013,1.04626954671715,0.076055069168875,24,745
"14889","Bliss","CI",0.56965416528594,0.352326219195592,0.921038090121454,0.0217046039903421,27,745
"14890","Bliss","CI",0.565547864121007,0.346704477689787,0.922527417998947,0.0224328663207862,30,745
"14891","Bliss","SS",0.374082757128313,-1.58588122741174,2.33404674166837,0.708342746761073,3,745
"14892","Bliss","SS",0.0322428300664031,-1.92772115447365,1.99220681460646,0.974278400466826,6,745
"14893","Bliss","SS",0.460024109784261,-1.49993987475579,2.41998809432432,0.64549891506168,9,745
"14894","Bliss","SS",0.269575083459553,-1.6903889010805,2.22953906799961,0.787487171401507,12,745
"14895","Bliss","SS",0.907515548930777,-1.05244843560928,2.86747953347083,0.364134230755024,15,745
"14896","Bliss","SS",1.1288727192711,-0.831091265268953,3.08883670381115,0.258951530568707,18,745
"14897","Bliss","SS",1.34476126380751,-0.615202720732545,3.30472524834756,0.178702343247297,21,745
"14898","Bliss","SS",1.7740488574011,-0.185915127138954,3.73401284194115,0.076055069168875,24,745
"14899","Bliss","SS",2.29549794596577,0.33553396142572,4.25546193050583,0.0217046039903421,27,745
"14900","Bliss","SS",2.28295759518467,0.322993610644618,4.24292157972473,0.0224328663207862,30,745
"14901","Bliss","CI",0.763927892813965,0.512510040584937,1.13868174124575,0.186082757078447,3,746
"14902","Bliss","CI",0.533893422280431,0.343723430915842,0.829277729466459,0.00521957535031692,6,746
"14903","Bliss","CI",0.508526230630838,0.341781860489252,0.756619812617997,0.000850985196322443,9,746
"14904","Bliss","CI",0.535253147595005,0.336285986824073,0.851941333375391,0.00839677560410705,12,746
"14905","Bliss","CI",0.507990720389583,0.318780993826519,0.809504258407453,0.00438712758192542,15,746
"14906","Bliss","CI",0.483216448485891,0.296090184051339,0.788604785516403,0.0036108983211678,18,746
"14907","Bliss","CI",0.437344305918835,0.265833797972157,0.719509871877394,0.00113025765831255,21,746
"14908","Bliss","CI",0.398662048304117,0.244008659922414,0.651335197728509,0.000240965176599671,24,746
"14909","Bliss","CI",0.396015236062242,0.242210946825408,0.647485463596652,0.000221837458318135,27,746
"14910","Bliss","CI",0.353686258268906,0.215596989025446,0.580221318737875,3.86649315186297e-05,30,746
"14911","Bliss","SS",1.32225648670812,-0.637707497831929,3.28222047124818,0.186082757078447,3,746
"14912","Bliss","SS",2.79316070676346,0.833196722223405,4.75312469130351,0.00521957535031692,6,746
"14913","Bliss","SS",3.33565558807556,1.37569160353551,5.29561957261561,0.000850985196322443,9,746
"14914","Bliss","SS",2.63568453066532,0.675720546125262,4.59564851520537,0.00839677560410705,12,746
"14915","Bliss","SS",2.84889558605254,0.888931601512488,4.80885957059259,0.00438712758192542,15,746
"14916","Bliss","SS",2.91029320551791,0.950329220977857,4.87025719005796,0.0036108983211678,18,746
"14917","Bliss","SS",3.25591956562841,1.29595558108836,5.21588355016847,0.00113025765831255,21,746
"14918","Bliss","SS",3.6716758638678,1.71171187932775,5.63163984840786,0.000240965176599671,24,746
"14919","Bliss","SS",3.69275529776244,1.73279131322239,5.65271928230249,0.000221837458318135,27,746
"14920","Bliss","SS",4.11531601144448,2.15535202690443,6.07527999598454,3.86649315186297e-05,30,746
"14921","Bliss","CI",0.871851508672772,0.540148701848896,1.40725146718511,0.574527953011222,3,747
"14922","Bliss","CI",0.968030442870384,0.640306489288078,1.46349124052409,0.877548896099083,6,747
"14923","Bliss","CI",0.727010212866349,0.493463937652509,1.07108910962439,0.106832638427584,9,747
"14924","Bliss","CI",0.721180161946768,0.525878270605097,0.989013722485848,0.0425070245715239,12,747
"14925","Bliss","CI",0.674530170915891,0.469837021761848,0.968401659302294,0.0328440362469803,15,747
"14926","Bliss","CI",0.626023482935866,0.431826371704655,0.907553190047397,0.0134389176917253,18,747
"14927","Bliss","CI",0.51822525603058,0.350717960207109,0.76573613689293,0.000967184872819496,21,747
"14928","Bliss","CI",0.486927442793583,0.339689388718844,0.697985696402605,8.96352753985947e-05,24,747
"14929","Bliss","CI",0.488541651307909,0.357293614500306,0.668002268656425,7.20723101991766e-06,27,747
"14930","Bliss","CI",0.454595501298999,0.331894668795675,0.622658599944288,9.03505013255772e-07,30,747
"14931","Bliss","SS",0.561395497112453,-1.3985684874276,2.52135948165251,0.574527953011222,3,747
"14932","Bliss","SS",0.154077161012798,-1.80588682352726,2.11404114555285,0.877548896099083,6,747
"14933","Bliss","SS",1.61259448046186,-0.347369504078197,3.57255846500191,0.106832638427584,9,747
"14934","Bliss","SS",2.02852176181323,0.068557777273173,3.98848574635328,0.0425070245715239,12,747
"14935","Bliss","SS",2.13398466358577,0.174020679045712,4.09394864812582,0.0328440362469803,15,747
"14936","Bliss","SS",2.47192108905043,0.511957104510372,4.43188507359048,0.0134389176917253,18,747
"14937","Bliss","SS",3.29990231630295,1.3399383317629,5.25986630084301,0.000967184872819496,21,747
"14938","Bliss","SS",3.91706045695086,1.95709647241081,5.87702444149092,8.96352753985947e-05,24,747
"14939","Bliss","SS",4.48747486993732,2.52751088539726,6.44743885447737,7.20723101991766e-06,27,747
"14940","Bliss","SS",4.9115689570292,2.95160497248914,6.87153294156925,9.03505013255772e-07,30,747
"14941","Bliss","CI",0.875961502240005,0.660277852542616,1.16209948652949,0.358468851124912,3,748
"14942","Bliss","CI",0.775316175435167,0.542725968740437,1.10758505491544,0.161977905841339,6,748
"14943","Bliss","CI",0.853785877030464,0.576154291591301,1.26519985089995,0.430850333537791,9,748
"14944","Bliss","CI",0.863604781888584,0.599077038944262,1.24493707957019,0.431948663875954,12,748
"14945","Bliss","CI",0.830929196288467,0.563076375598392,1.2261983616536,0.350888124462875,15,748
"14946","Bliss","CI",0.806106283306576,0.542235091231906,1.1983867338981,0.286692762556434,18,748
"14947","Bliss","CI",0.704251641082641,0.469771069967275,1.05577036491869,0.0896486103430767,21,748
"14948","Bliss","CI",0.628428139838912,0.415696858749569,0.950023842203992,0.0275869988270707,24,748
"14949","Bliss","CI",0.619563778494044,0.423145471855821,0.907156760861213,0.0138617157709585,27,748
"14950","Bliss","CI",0.59031829077075,0.404728597079137,0.861010778416435,0.00619939481638603,30,748
"14951","Bliss","SS",0.918286580199205,-1.04167740434085,2.87825056473926,0.358468851124912,3,748
"14952","Bliss","SS",1.39845023843758,-0.561513746102473,3.35841422297763,0.161977905841339,6,748
"14953","Bliss","SS",0.787737384303202,-1.17222660023685,2.74770136884326,0.430850333537791,9,748
"14954","Bliss","SS",0.785861445516383,-1.17410253902367,2.74582543005644,0.431948663875954,12,748
"14955","Bliss","SS",0.932868003539684,-1.02709598100037,2.89283198807974,0.350888124462875,15,748
"14956","Bliss","SS",1.06540485089394,-0.894559133646111,3.025368835434,0.286692762556434,18,748
"14957","Bliss","SS",1.69725420921701,-0.26270977532304,3.65721819375707,0.0896486103430767,21,748
"14958","Bliss","SS",2.20310996761596,0.243145983075905,4.16307395215601,0.0275869988270707,24,748
"14959","Bliss","SS",2.46082707952638,0.500863094986331,4.42079106406644,0.0138617157709585,27,748
"14960","Bliss","SS",2.7370442784825,0.77708029394245,4.69700826302256,0.00619939481638603,30,748
"14961","Bliss","CI",1.130408507102,0.854989077144291,1.49454937739858,0.389593037044023,3,749
"14962","Bliss","CI",1.08061435023139,0.721337302357698,1.61883680506924,0.706945443561349,6,749
"14963","Bliss","CI",1.02229492642049,0.698971935781859,1.49517722112269,0.909498295465328,9,749
"14964","Bliss","CI",0.958273044984743,0.65875806508877,1.39396734159238,0.823611355163603,12,749
"14965","Bliss","CI",0.819789673206918,0.588237019857651,1.14249033231424,0.24065104537554,15,749
"14966","Bliss","CI",0.734101564542091,0.54560877202385,0.987713421586244,0.0411894468616743,18,749
"14967","Bliss","CI",0.698553739898884,0.534334770850529,0.913242697550785,0.00869808519036339,21,749
"14968","Bliss","CI",0.676112384944012,0.513233107018245,0.890682909624591,0.00538310979234369,24,749
"14969","Bliss","CI",0.658033713987726,0.500548102574013,0.865068445006152,0.00271324772669401,27,749
"14970","Bliss","CI",0.611235970369462,0.447311300149254,0.835233564072348,0.00200048018952481,30,749
"14971","Bliss","SS",-0.860355628555961,-2.82031961309601,1.09960835598409,0.389593037044023,3,749
"14972","Bliss","SS",-0.375961600555812,-2.33592558509587,1.58400238398424,0.706945443561349,6,749
"14973","Bliss","SS",-0.113671386838517,-2.07363537137857,1.84629259770154,0.909498295465328,9,749
"14974","Bliss","SS",0.222902545555676,-1.73706143898438,2.18286653009573,0.823611355163603,12,749
