"","Cell","Figure","CAGE","MOUSE","Treatment","Day","RLU"
"122","U87MG","Fig5A","519","519_3_DOC","DOC",14,"13000000"
"123","U87MG","Fig5A","519","519_3_DOC","DOC",18,"1.8e+07"
"124","U87MG","Fig5A","519","519_3_DOC","DOC",21,"2.8e+07"
"125","U87MG","Fig5A","519","519_3_DOC","DOC",25,"8.4e+07"
"126","U87MG","Fig5A","519","519_3_DOC","DOC",28,"9.8e+07"
"127","U87MG","Fig5A","515","515_2_DOC","DOC",0,"36100000"
"128","U87MG","Fig5A","515","515_2_DOC","DOC",7,"14200000"
"129","U87MG","Fig5A","515","515_2_DOC","DOC",14,"4400000"
"130","U87MG","Fig5A","515","515_2_DOC","DOC",18,"1.7e+08"
"131","U87MG","Fig5A","515","515_2_DOC","DOC",21,"3.4e+08"
"132","U87MG","Fig5A","515","515_2_DOC","DOC",25,"5200000"
"133","U87MG","Fig5A","515","515_2_DOC","DOC",28,"1.5e+09"
"134","U87MG","Fig5A","519","519_1_DOC","DOC",0,"54000000"
"135","U87MG","Fig5A","519","519_1_DOC","DOC",7,"17300000"
"136","U87MG","Fig5A","519","519_1_DOC","DOC",14,"37000000"
"137","U87MG","Fig5A","519","519_1_DOC","DOC",18,"550000"
"138","U87MG","Fig5A","519","519_1_DOC","DOC",21,"550000"
"139","U87MG","Fig5A","519","519_1_DOC","DOC",25,"550000"
"140","U87MG","Fig5A","519","519_1_DOC","DOC",28,"550000"
"141","U87MG","Fig5A","518","518_2_DOC","DOC",0,"110000000"
"142","U87MG","Fig5A","518","518_2_DOC","DOC",7,"26700000"
"143","U87MG","Fig5A","518","518_2_DOC","DOC",14,"820000"
"144","U87MG","Fig5A","518","518_2_DOC","DOC",18,"4400000"
"145","U87MG","Fig5A","518","518_2_DOC","DOC",21,"4400000"
"146","U87MG","Fig5A","518","518_2_DOC","DOC",25,"4400000"
"147","U87MG","Fig5A","518","518_2_DOC","DOC",28,"4400000"
"148","U87MG","Fig5A","514","514_4_Triple","Triple",0,"231000"
"149","U87MG","Fig5A","514","514_4_Triple","Triple",7,"286000"
"150","U87MG","Fig5A","514","514_4_Triple","Triple",14,"840000"
"151","U87MG","Fig5A","514","514_4_Triple","Triple",18,"840000"
"152","U87MG","Fig5A","514","514_4_Triple","Triple",21,"840000"
"153","U87MG","Fig5A","514","514_4_Triple","Triple",25,"840000"
